,tweets
0,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
1,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
2,"RT @ThegirlofGaza1: The first 3 doctors to die from Corona virus in the UK are arabs 
Adil Altayyar from Sudan 
Habib Alzaydy from Iraq 
Am…"
3,RT @total_gossips: #Dispatch trends as Thai king faces backlash over the inefficient way the government is managing the corona virus pandem…
4,RT @DilipbhaiSola13: @Samayra_msgs #ReleaseAsharamjiBapuOnParole . Whole world need peace and we all know Sant Shri Asharamji Bapu can prov…
5,@AmdAshram Today whole world has accepted that staying in quarantine is the only way to safeguard from Corona Virus… https://t.co/h73AtJbjbf
6,"RT @Nmguitarpicker: Aight what the fuck, fuck you corona virus, you had to take Joe Diffie? JOE MOTHAFUCKIN DIFFIE? Dude I’m pissed"
7,If the corona virus would’ve started 3 months ago Gigi’s game would’ve been canceled and they would’ve never flew in the helicopter.
8,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
9,RT @_Ajayks: @sanjaybhind2 @khushbuSahu8 @madaanparag @BhumiChoudhary_ @damle_brajesh @Nalini_om @sanju_gouda @Eklavya88281356 @nayantara83…
10,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11,"RT @Dinesh_Jat_: #Benefits_Of_Satsang
If you do true devotion, always remain happy and healthy, any dangerous disease is cured by true devo…"
12,"RT @curiouspio: Go to Netflix &gt; Search My Secret Terrius &gt; go to Season 1, Episode 10 &gt; Skip to 53 mins &gt; it's about the Corona Virus!!!

T…"
13,RT @RoArquette: Prayers for Musician John Prine he is hospitalized with corona virus and he’s in critical care.
14,"RT @Sowmyareddyr: 4 new machines were procured for disinfection in our #Jayanagar constituency. 

Disinfection spraying greatly helps reduc…"
15,RT @RGVzoomin: MEGA emotional MULTISTAR Song on CORONAVIRUS is so mindblowinglyfantastic that intelligence sources from BACTERIA WORLD told…
16,"RT @brndvx: apparently a corona virus symptom is having no taste, thoughts go out to all the eminem stans at this time 🙏"
17,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
18,"RT @PeterSweden7: @mitchellvii Goal posts have been moved...🥅

I have reported on and warned about the corona virus outbreak for months.

N…"
